Trace,Cache Associativity,Total Misses,Miss Rate
471.omnetpp-188B.trace.txt.gz,8,27971,2.797
471.omnetpp-188B.trace.txt.gz,16,22034,2.203
473.astar-153B.trace.txt.gz,1,5998,0.6
473.astar-153B.trace.txt.gz,2,4749,0.475
473.astar-153B.trace.txt.gz,4,4789,0.479
473.astar-153B.trace.txt.gz,8,4449,0.445
473.astar-153B.trace.txt.gz,16,4487,0.449
481.wrf-1170B.trace.txt.gz,1,7091,0.709
481.wrf-1170B.trace.txt.gz,2,4101,0.41
481.wrf-1170B.trace.txt.gz,4,3876,0.388
481.wrf-1170B.trace.txt.gz,8,3834,0.383
481.wrf-1170B.trace.txt.gz,16,3885,0.389
482.sphinx3-1100B.trace.txt.gz,1,22693,2.269
482.sphinx3-1100B.trace.txt.gz,2,13275,1.327
482.sphinx3-1100B.trace.txt.gz,4,12179,1.218
482.sphinx3-1100B.trace.txt.gz,8,11943,1.194
482.sphinx3-1100B.trace.txt.gz,16,11930,1.193
483.xalancbmk-127B.trace.txt.gz,1,23191,2.319
483.xalancbmk-127B.trace.txt.gz,2,20679,2.068
483.xalancbmk-127B.trace.txt.gz,4,20644,2.064
483.xalancbmk-127B.trace.txt.gz,8,20642,2.064
483.xalancbmk-127B.trace.txt.gz,16,20641,2.064
