Trace,Cache Size,Total Misses,Miss Rate
464.h264ref-30B.trace.txt.gz,128,557,0.056
465.tonto-1769B.trace.txt.gz,8,29994,2.999
465.tonto-1769B.trace.txt.gz,16,28742,2.874
465.tonto-1769B.trace.txt.gz,32,28471,2.847
465.tonto-1769B.trace.txt.gz,64,28300,2.83
465.tonto-1769B.trace.txt.gz,128,28218,2.822
470.lbm-1274B.trace.txt.gz,8,50162,5.016
470.lbm-1274B.trace.txt.gz,16,42459,4.246
470.lbm-1274B.trace.txt.gz,32,38730,3.873
470.lbm-1274B.trace.txt.gz,64,36333,3.633
470.lbm-1274B.trace.txt.gz,128,25343,2.534
471.omnetpp-188B.trace.txt.gz,8,98868,9.887
471.omnetpp-188B.trace.txt.gz,16,78116,7.812
471.omnetpp-188B.trace.txt.gz,32,37393,3.739
471.omnetpp-188B.trace.txt.gz,64,23414,2.341
471.omnetpp-188B.trace.txt.gz,128,19206,1.921
473.astar-153B.trace.txt.gz,8,6106,0.611
473.astar-153B.trace.txt.gz,16,5393,0.539
473.astar-153B.trace.txt.gz,32,4919,0.492
473.astar-153B.trace.txt.gz,64,4106,0.411
473.astar-153B.trace.txt.gz,128,3237,0.324
481.wrf-1170B.trace.txt.gz,8,7274,0.727
481.wrf-1170B.trace.txt.gz,16,5864,0.586
481.wrf-1170B.trace.txt.gz,32,4447,0.445
481.wrf-1170B.trace.txt.gz,64,3669,0.367
481.wrf-1170B.trace.txt.gz,128,3288,0.329
482.sphinx3-1100B.trace.txt.gz,8,19929,1.993
482.sphinx3-1100B.trace.txt.gz,16,15878,1.588
482.sphinx3-1100B.trace.txt.gz,32,13904,1.39
482.sphinx3-1100B.trace.txt.gz,64,12306,1.231
482.sphinx3-1100B.trace.txt.gz,128,11392,1.139
483.xalancbmk-127B.trace.txt.gz,8,26540,2.654
483.xalancbmk-127B.trace.txt.gz,16,23212,2.321
483.xalancbmk-127B.trace.txt.gz,32,21886,2.189
483.xalancbmk-127B.trace.txt.gz,64,21285,2.128
483.xalancbmk-127B.trace.txt.gz,128,20991,2.099
